forecast_period,start_time,temperature,temperature_unit,precipitation_probability_unit,precipitation_probability_value,dewpoint_unit,dewpoint_value,relative_humidity_unit,relative_humidity_value,wind_speed,wind_direction,weather_icon_url,short_forecast
139,2025-05-06T16:00:00-05:00,74,F,wmoUnit:percent,13,wmoUnit:degC,11.666666666666666,wmoUnit:percent,48,5 mph,NNW,https://api.weather.gov/icons/land/day/few?size=small,Sunny
140,2025-05-06T17:00:00-05:00,72,F,wmoUnit:percent,13,wmoUnit:degC,11.666666666666666,wmoUnit:percent,51,5 mph,N,https://api.weather.gov/icons/land/day/few?size=small,Sunny
141,2025-05-06T18:00:00-05:00,71,F,wmoUnit:percent,13,wmoUnit:degC,11.666666666666666,wmoUnit:percent,53,5 mph,N,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
142,2025-05-06T19:00:00-05:00,70,F,wmoUnit:percent,3,wmoUnit:degC,11.666666666666666,wmoUnit:percent,55,5 mph,N,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
143,2025-05-06T20:00:00-05:00,67,F,wmoUnit:percent,3,wmoUnit:degC,11.666666666666666,wmoUnit:percent,61,5 mph,NNE,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
144,2025-05-06T21:00:00-05:00,64,F,wmoUnit:percent,3,wmoUnit:degC,11.666666666666666,wmoUnit:percent,67,5 mph,ENE,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
145,2025-05-06T22:00:00-05:00,61,F,wmoUnit:percent,3,wmoUnit:degC,11.666666666666666,wmoUnit:percent,75,5 mph,E,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
146,2025-05-06T23:00:00-05:00,59,F,wmoUnit:percent,3,wmoUnit:degC,11.11111111111111,wmoUnit:percent,78,5 mph,E,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
147,2025-05-07T00:00:00-05:00,58,F,wmoUnit:percent,3,wmoUnit:degC,11.11111111111111,wmoUnit:percent,80,0 mph,,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
148,2025-05-07T01:00:00-05:00,56,F,wmoUnit:percent,6,wmoUnit:degC,10.555555555555555,wmoUnit:percent,83,0 mph,,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
149,2025-05-07T02:00:00-05:00,55,F,wmoUnit:percent,6,wmoUnit:degC,10.555555555555555,wmoUnit:percent,86,0 mph,,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
150,2025-05-07T03:00:00-05:00,54,F,wmoUnit:percent,6,wmoUnit:degC,10.555555555555555,wmoUnit:percent,90,5 mph,ESE,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
151,2025-05-07T04:00:00-05:00,53,F,wmoUnit:percent,6,wmoUnit:degC,10.555555555555555,wmoUnit:percent,93,5 mph,ESE,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
152,2025-05-07T05:00:00-05:00,54,F,wmoUnit:percent,6,wmoUnit:degC,10.555555555555555,wmoUnit:percent,90,5 mph,ESE,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy
153,2025-05-07T06:00:00-05:00,55,F,wmoUnit:percent,6,wmoUnit:degC,10.555555555555555,wmoUnit:percent,86,5 mph,ESE,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny
154,2025-05-07T07:00:00-05:00,56,F,wmoUnit:percent,13,wmoUnit:degC,11.11111111111111,wmoUnit:percent,86,5 mph,ESE,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny
155,2025-05-07T08:00:00-05:00,60,F,wmoUnit:percent,13,wmoUnit:degC,11.666666666666666,wmoUnit:percent,78,5 mph,ESE,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny
156,2025-05-07T09:00:00-05:00,63,F,wmoUnit:percent,13,wmoUnit:degC,12.222222222222221,wmoUnit:percent,72,5 mph,E,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny
